 2023-24 Survey Materials: Glossary  ," Date: 07-18-2023"
"Instructional Staff","An occupational category that is comprised of staff who are either:&nbsp;1) Primarily Instruction&nbsp;or 2) Instruction combined with research and/or public service.&nbsp; The intent of the Instructional Staff category is to include all individuals whose primary occupation includes instruction at the institution.",""
"Intangible assets","Assets consisting of nonmaterial rights and benefits of an institution, such as patents, copyrights, trademarks and goodwill.",""
"Integrated Postsecondary Education Data System (IPEDS)","The Integrated Postsecondary Education Data System (IPEDS), conducted by the NCES, began in 1986 and involves annual institution-level data collections. All postsecondary institutions that have a Program Participation Agreement with the Office of Postsecondary Education (OPE), U.S. Department of Education (throughout IPEDS referred to as 'Title IV') are required to report data using a web-based data collection system. IPEDS currently consists of the following components: Institutional Characteristics (IC); 12-month Enrollment (E12);Completions (C); Admissions (ADM); Student Financial Aid (SFA); Human Resources (HR) composed of Employees by Assigned Position, Fall Staff, and Salaries; Fall Enrollment (EF); Graduation Rates (GR); Outcome Measures (OM); Finance (F); and Academic Libraries (AL).",""
"Interest","The price paid (or received) for the use of money over a period of time. Interest income is one component of investment income. Interest paid by the institution is interest expense.",""
"Interlibrary loan services","Interlibrary loan is the process by which a library requests material from, or supplies material to, another library' where ''material' includes books, audiovisual materials, and other returnable items as well as copies of journal articles, book chapters, excerpts, and other non-returnable items.",""
"International English Language Testing System (IELTS)","A standardized test designed to determine an applicant's ability to benefit from instruction in English.","English Proficiency Test"
"Invested in capital assets, net of related debt","Net assets of GASB institutions that consist of capital assets net of accumulated depreciation,  reduced by the outstanding indebtedness on capital assets. FASB institutions do not use this classification; most of the equivalent net assets are considered unrestricted net assets.",""
"Investment gains","The gain derived from the investment of capital. Such gains may take the form of a market appreciation of the value of the investment. The gain may be realized if the asset or capital is sold or unrealized if the asset or capital is not sold.",""
"Investment income","Revenues derived from the institution's investments, including investments of endowment funds. Such income may take the form of interest income, dividend income, rental income or royalty income and includes both realized and unrealized gains and losses.",""
"Investment return","Income from assets including dividends, interest earnings, royalties, rent, gains  (losses) etc.",""
"IPEDS College Opportunities Online Locator (IPEDS COOL)","<b> No longer active</b> - see College Navigator.",""
"IPEDS coordinator","The person responsible for Integrated Postsecondary Education Data System (IPEDS) survey related coordination activities for a specified group of schools within a state or system. This person has certain viewing, verifying and locking privileges on the data collection system.",""
"IPEDS universe","Those postsecondary institutions that have been identified and are potential respondents to the IPEDS surveys. The universe does not include all postsecondary institutions because many exist that are not included in the list of Title IV eligible institutions and, thus, there is currently no complete list of these institutions.","Institutional Characteristics (IC)"
"IPEDS Use the Data Webpage (formerly IPEDS Data Center)","The IPEDS Use the Data webpage is the single entry point for retrieving IPEDS data. Using the webpage, one can easily download data files for one or more institutions with information from any of the IPEDS survey components or download complete data files, produce a variety of reports and data trends, or create group statistics.",""
"Job Training Partnership Act (JTPA)","Legislation effective beginning Federal Fiscal Year 1984, enabling Private Industry Councils (PICs) in service areas defined within each state to support job training programs. Provisions of the legislation deal with the authority of the councils, the range of allowable programs, and special populations to be served.",""
"Keyholder","The person designated by an official institutional representative to have in their possession the necessary UserID and password to gain access to the Integrated Postsecondary Education Data System  (IPEDS) data collection system to complete the survey. The keyholder is responsible for entering data and locking the site by each survey completion date.",""
"Land and land improvements","Capital assets consisting of land and improvements such as athletic fields, golf courses, or lakes. Land is nondepreciable; some land improvements are depreciable and some are nondepreciable.",""
"Land-grant institution","A land-grant college or university is an institution that has been designated by its state legislature or Congress to receive the benefits of the Morrill Acts of 1862 and 1890. The original mission of these institutions, as set forth in the first Morrill Act, was to teach agriculture, military tactics, and the mechanic arts as well as classical studies so that members of the working classes could obtain a liberal, practical education.  For more information on land-grant institutions see http://www.csrees.usda.gov/qlinks/partners/state_partners.html.",""
"Legacy status","Students who have a familial tie to an institution including parents or relatives who are alumni or a sibling who currently attends.",""
"Less than 2-year institution","A postsecondary institution that offers programs of less than 2-years duration below the baccalaureate level. Includes occupational and vocational schools with programs that do not exceed 1800 clock hours .",""
"Less than 9/10-month salary contract/teaching period","<p>The contracted teaching period of faculty employed for less than 2 semesters, 3 quarters, 2 trimesters, or 2 4-month sessions.</p><p>(Term used in IPEDS HR survey component prior to 2012-13)</p>",""
"Less-than-annual contract or employment agreement","A contract or employment agreement that is in effect for a partial year period of less than 365 days, or less than a standard academic year or the equivalent. Includes contracts for partial year periods such as a single semester, quarter, term, block, or course.",""
"Level (of institution)","A classification of whether an institution's programs  are 4-year or higher (4 year), 2-but-less-than 4-year (2 year), or less than 2-year.","Sector,Control (of institution)"
"Levels of offering","Information collected in the Institutional Characteristics Header component which indicates all applicable levels for all credit programs offered at an institution. Award levels are identified on the basis of recognition for their completion, duration, or a combination thereof. Degree-designated award levels indicate those degree levels for which the institution is authorized to offer recognized postsecondary credentials. Length of study is the equivalent of the number of full-time academic years. For example, at least 1 but less than 2 years refers to the number of credits or the course load that would normally be completed by a full-time student attending within the stated time period.",""
"Liabilities","Debts and obligations of the institution owed to outsiders or claims or rights, expressed in monetary terms, of an institution's creditors. GASB institutions are required to report liabilities under two categories - current liabilities and noncurrent liabilities.",""
"Librarians and Media Collections Specialists","An occupational category based on the broad occupation in the 2018 Standard Occupational Classification (SOC) Manual called 'Librarians and Media Collections Specialists' (SOC code 25-4020). &nbsp;For detailed information, refer to the following website: https://www.bls.gov/soc/2018/major_groups.htm#25-0000.",""
"Librarians, Curators, and Archivists","An occupational category based on the following three broad occupations in the 2010 Standard Occupational Classification (SOC) Manual:&nbsp; 1) Librarians (SOC code 25-4020) (https://www.bls.gov/soc/2010/2010_major_groups.htm#25-0000); 2) Archivists, Curators, and Museum Technicians (SOC code 25-4010) (https://www.bls.gov/soc/2010/2010_major_groups.htm#25-0000); and 3) Library Technicians&nbsp; (SOC code 25-4030) (https://www.bls.gov/soc/2010/2010_major_groups.htm#25-0000).",""
"Library","An organized collection of printed, microform, and audiovisual materials which (a) is administered as one or more units, (b) is located in one or more designated places, and (c) makes printed, microform, and audiovisual materials as well as necessary equipment and services of a staff accessible to students and to faculty. Includes units meeting the above definition which are part of a learning resource center.",""
"Library and Student and Academic Affairs and Other Education Services Occupations","An occupational&nbsp;category&nbsp;consisting of&nbsp;the following: <br><br>1. Archivists, Curators, and Museum Technicians<br>2. Librarians and Media Collections Specialists<br>3. Library Technicians<br>4. Student and Academic Affairs and Other Education Services Occupations",""
"Library collections","Comprise of documents held locally and remote resources for which permanent or temporary access rights have been acquired. Access rights may be acquired by the library itself, by a consortium and/or through external funding. Acquisition is to be understood as securing access rights and including it in the library catalog, other library databases or discovery systems.",""
"Library Consortia","A library consortium is any local, statewide, regional, or interstate cooperative association of libraries that provides for the systematic and effective coordination of the resources of schools, public, academic, and special libraries and information centers, for improving services to the clientele of such libraries. (U.S. Code of Federal Regulations, Sect. 54.500)",""
"Library expenses","Funds expended by the library (regardless of when received) from its regular budget and from all other sources; e.g., research grants, special projects, gifts and endowments, and fees for services.",""
"Library Technicians","An occupational category based on the broad occupation in the 2018 Standard Occupational Classification (SOC) Manual called 'Library Technicians' (SOC code 25-4030). &nbsp;For detailed information, refer to the following website: https://www.bls.gov/soc/2018/major_groups.htm#25-0000.",""
"Loan funds","Funds that have been loaned, or are available for loans to students,  faculty,  and staff.",""
"Loans to students","Any monies that must be repaid to the lending institution for which the student is the designated borrower. Includes all Title IV subsidized and unsubsidized loans and all institutionally and privately sponsored loans. Does not include Parent PLUS and other loans made directly to parents.",""
"Local appropriations, education district taxes, and similar support","Local appropriations are government appropriations made by a governmental entity below the state level. Education district taxes include all tax revenues assessed directly by an institution or on behalf of an institution when the institution will receive the exact amount collected. These revenues also include similar revenues that result from actions of local governments or citizens (such as through a referendum) that result in receipt by the institution of revenues based on collections of other taxes or resources (sales taxes, gambling taxes, etc.).",""
"Local government grants and contracts (revenues)","Revenues from local government agencies that are for training programs and similar activities for which amounts are received or expenditures are reimbursable under the terms of a local government grant or contract.&nbsp;These amounts can be treated as an allowance, an agency transaction, or as a student aid expense in the institution's&nbsp;General Purpose Financial Statements (GPFS)&nbsp;and are reported differently depending on their treatment. Generally, however,&nbsp;private institutions&nbsp;report these grants as&nbsp;allowances&nbsp;when applied to the student's account and as local grant&nbsp;revenues&nbsp;when received.",""
"Locked","The survey status obtained when a keyholder has resolved all edits/errors and has decided that data are ready to 'submit' to IPEDS. Once locked, the system becomes read only and the keyholder no longer has access to the system to alter data.",""
"Long programs","Undergraduate programs that exceed the usual program length for a specific level. This would include programs of 5 years or longer for 4-year institutions and programs of 3 years or longer for 2-year institutions.",""
"Long-term debt","Debt of the institution in the form of bonds, notes, capital leases,  and other forms of debt that are repayable over a period greater than one year.","Long-term debt, current portion"
"Long-term debt, current portion","The amount of long-term debt that the institution is expected to pay or liquidate during the next year using current assets.",""
"Long-term investments","Money or capital invested for purposes of receiving a profitable return over a period of time of more than one year. Long-term investments should be distinguished from temporary investments based on the intention of the organization regarding the terms of the investment rather than the nature of the investment itself. Includes: 1) cash held until appropriate investments are identified; 2) repurchase agreements and other money market media; 3) equity securities and mutual fund investments; 4) debt securities; 5) real estate held for income production; 6) beneficial interest in trusts; and 7) other. GASB institutions report these investments under 'noncurrent assets.'",""
"Losses","Decreases in  net assets from an organization's peripheral or incidental transactions and other events affecting the organization, other than those that result from expenses.",""
"Management Function","Management function should include those staff whose job it is to plan, direct, or coordinate policies, programs, and may include some supervision of other workers. In addition, Postsecondary Deans should be classified in this category as well, even though they perform similar activities to the workers that they supervise. For additional guidance please refer to the Crosswalk for the IPEDS Human Resources Occupational Functions.",""
"Mandatory transfers","Those transfers that must be made to fulfill a binding legal obligation of the institution. Includes mandatory debt-service provisions relating to academic and administrative buildings,  including (1) amounts set aside for debt retirement and interest; and (2) required provisions for renewal and replacements to the extent not financed from other sources. Also includes the institutional matching portion for Perkins loans when the source of funds is current revenue.",""
"Market value","The value of a good as determined in the market at a specific point in time or what individuals in the market for the good are willing to pay to obtain the good at a given point in time.",""
"Master's Colleges and Universities I (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Master's Colleges and Universities I typically offer a wide range of baccalaureate programs, and they are committed to graduate education through the master's degree. During the period studied, they awarded 40 or more master's degrees  per year across three or more disciplines.","Carnegie Classification"
"Master's Colleges and Universities II (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Master's Colleges and Universities II typically offer a wide range of baccalaureate programs, and they are committed to graduate education through the master's degree. During the period studied, they awarded 20 or more master's degrees  per year.","Carnegie Classification"
"Master's degree","An award that requires the successful completion of a program of study of at least the full-time equivalent of 1 but not more than 2 academic years  of work beyond the bachelor's degree. <br>Some of these degrees, such as those in Theology (M.Div., M.H.L./Rav) that were formerly classified as  'first-professional', may require more than two full-time equivalent academic years of work.",""
"Media materials","Titles&nbsp;of all library materials that include audio visual materials, cartographic materials, graphic materials, and three-dimensional artefacts and realia.",""
"Medical school staff","<span>Staff employed by or staff working in the medical school (Doctor of Medicine [M.D.] and/or Doctor of Osteopathic Medicine [D.O.])</span> <span>component of a postsecondary institution or in a free standing medical school. Does not include staff employed by or employees working strictly in a hospital associated with a medical school or those who work in health or allied health schools or departments such as dentistry, veterinary medicine, nursing or dental hygiene unless the health or allied health schools or departments are affiliated with (housed in or under the authority of) the medical school.</span>",""
"Medical schools and medical centers (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Medical Schools and Medical Centers award most of their professional degrees  in medicine. In some instances, they include other health professions programs , such as dentistry, pharmacy, or nursing.","Carnegie Classification,Specialized institutions (Carnegie)"
"Microform","Microforms are photographic reproduction of textual, tabular, or graphic material reduced in size so that they can be used only with magnification. Examples of microforms are roll microfilm, aperture cards, microfiche, ultrafiche, and reproductions on opaque material.",""
"Migration (data)","A process in which survey data are moved from the IPEDS data collection system to the IPEDS Data Center. Migration occurs after the survey data have been reviewed by survey operations personnel.",""
"Migration (students)","Refers to the movement of students from their home state of residence to another state to attend a postsecondary institution.",""
"Military installations","One or more buildings or sites owned or operated by the U.S. Army, Navy, Air Force, Marine Corps, or Coast Guard, including Reserves and National Guard.",""
"Military Tuition Assistance Program (TAP)","A program that funds up to 100% of an eligible servicemember's college tuition and course-specific fees.  Available only to eligible servicemembers who are currently in active service as long as criteria limits are not exceeded and students are enrolled off-duty in an U.S. Department of Education accredited post-secondary institution. This military benefit is paid directly to the postsecondary institution by the individual's Armed service.",""
"Multi-year contract or employment agreement","A contract or employment agreement that is in effect for more than one year (e.g., more than 365 days). The renewal period of a multi-year contract is not on an annual basis (e.g., a 5-year multi-year contract is renewed every 5 years NOT annually).",""
"Multi-year or continuing or at-will contract or employment agreement (old definition)","A contract or employment agreement that is in effect for more than one year (e.g., more than 365 days) or that has an indefinite duration (continuing, at-will). The renewal period of a multi-year contract is not on an annual basis (e.g., a 5-year multi-year contract is renewed every 5 years NOT annually).",""
"National Center for Education Statistics (NCES)","The National Center for Education Statistics (NCES), in the Institute of Education Sciences, is the statistical agency of the U.S. Department of Education and the primary federal provider of education statistics on the condition of American education.",""
"National institutional accreditation","Institutional accreditation normally applies to an entire institution, indicating that each of its parts is contributing to the achievement of an institution's objectives, although not necessarily all on the same level of quality. The various commissions of the regional accrediting associations, for example, perform institutional accreditation, as do some national institutional accrediting agencies.",""
"Native Hawaiian or Other Pacific Islander","A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.",""
"Natural Expense","A natural expense classification is a method of grouping expenses according to the type of costs that are incurred. The classifications tell what was purchased rather than why an expense was incurred. (NACUBO FARM section 700)",""
"Natural Resources, Construction, and Maintenance Occupations","An occupational category based on the following three major groups in the 2018 Standard Occupational Classification (SOC) Manual:&nbsp; 1) Farming, Fishing, and Forestry Occupations (https://www.bls.gov/soc/2018/major_groups.htm#45-0000); 2) Construction and Extraction Occupations (https://www.bls.gov/soc/2018/major_groups.htm#47-0000); and 3) Installation, Maintenance, and Repair Occupations (https://www.bls.gov/soc/2018/major_groups.htm#49-0000).",""
"Net Assets","<p>The excess of assets over liabilities or the residual interest in the institution's assets remaining after liabilities are deducted. The change in net assets results from revenues, gains, expenses, and losses. FASB institutions classify net assets into three categories: permanently restricted, temporarily restricted, and unrestricted.&nbsp; This term is similar to the 'Net position' term used by GASB institutions.&nbsp;</p>",""
"Net deferred tax asset","A deferred tax asset is recognized for temporary differences that will result in deductible amounts in future years and for carryforwards. For example, a temporary difference is created between the reported amount and the tax basis of a liability for estimated expenses if, for tax purposes, those estimated expenses are not deductible until a future year. Settlement of that liability will result in tax deductions in future years, and a deferred tax asset is recognized in the current year for the reduction in taxes payable in future years. A valuation allowance is recognized if, based on the weight of available evidence, it is more likely than not that some portion or all of the deferred tax asset will not be realized.",""
"Net deferred tax liability","A deferred tax liability is recognized for temporary differences that will result in taxable amounts in future years. For example, a temporary difference is created between the reported amount and the tax basis of an installment sale receivable if, for tax purposes, some or all of the gain on the installment sale will be included in the determination of taxable income in future years. Because amounts received upon recovery of that receivable will be taxable, a deferred tax liability is recognized in the current year for the related taxes payable in future years.",""
"Net grant aid to students (expenses)","The portion of scholarships and fellowships granted by an institution that exceeds the amount applied to institutional charges such as tuition and fees or food and housing. The amount reported as expense excludes allowances.",""
"Net income","The final figure in the income statement when revenues exceed expenses.<div><br></div><div>For for-profit institutions, this figure is net of gains and losses.&nbsp;</div>",""
"Net loss","The final figure in the income statement when expenses exceed revenues.",""
"Net position","The excess of assets over liabilities or the residual interest in the institution's assets remaining after liabilities are deducted. The change in net position results from revenues, gains, expenses, and losses.&nbsp;GASB institutions classify net position into three categories: invested in capital, net of related debt; restricted (with separate displays of restricted-expendable and restricted-nonexpendable net assets); and unrestricted. Net position beginning with the 2013-14 collection includes deferred inflows and outflows of resources, per change from GASB Statement 63 and 65. This term is similar to the 'Net assets' term used by FASB institutions.",""
"Net price","The <i>Higher Education Act, as amended (2008),</i> defines institutional net price as 'the average yearly price actually charged to first-time, full-time undergraduate students receiving student aid at an institution of higher education after deducting such aid.' In IPEDS, average institutional net price is generated by subtracting the average amount of federal, state/local government, or institutional grant and scholarship aid from the total cost of attendance. Total cost of attendance is the sum of published tuition and required fees (lower of in-district or in-state for public institutions), books and supplies, and the weighted average for food and housing and other expenses. Cost of attendance data are collected in the Institutional Characteristics (IC) component of IPEDS, and financial aid data are collected in the Student Financial Aid (SFA) component of IPEDS. (Term used in IPEDS prior to 2022-23).",""
"New hires","Persons who were hired for full-time permanent employment either for the first time (new to the institution) or after a break in service between November 1 (prior year) and October 31 (current year) and still on the payroll as of November 1 of the current year. Does not include persons who have returned from sabbatical leave OR full-time Postsecondary Staff who are working less-than-9-month contracts.",""
"Non E & G current funds expenditures","Includes self-supporting operations of the institution that furnish a service to students, faculty,  or staff and charge a fee related to the service. Also includes funds expended for operations that are independent of the mission of the institution.",""
"Non-degree-seeking student","A student enrolled in courses for credit who is not recognized by the institution as seeking a degree or recognized postsecondary credential.",""
"Non-first-time entering student (undergraduate)","A student who has prior postsecondary experience before attending the reporting IPEDS institution. This cohort of students may closely reflect the transfer-in (non-first-time entering) enrollment from Fall Enrollment (EF), 12-month Enrollment (E12) and Outcomes Measures (OM) components.",""
"Non-medical school staff","See Institution's staff (not in medical schools)",""
"Non-Returnables","Materials that the library does not expect to have returned. Examples of non-returnables include photocopies or facsimiles, fiche-to-fiche copies, print copies from microfilm, electronic full-text documents, and gratis print copies of unpublished reports and/or departmental working papers.",""
"Noncredit contract training","Courses or activities conducted for a specific client organization in a range of formats.",""
"Noncredit course","A course or activity having no credit applicable toward a degree,  diploma,  certificate,  or other recognized postsecondary credential.",""
"Noncredit customized training","<span style='font-size: 13.6px;'>Contract training that is more specifically tailored to the client organization’s needs in terms of content or schedule.</span>",""
"Noncredit education","<span style='font-size: 13.6px;'>Courses or activities carrying no academic credit applicable toward a degree, diploma, certificate, or other recognized postsecondary credential at the institution or within the postsecondary educational system.</span>",""
"Noncredit workforce education","<span style='font-size: 13.6px;'>Courses or activities that provide technical skills for the workplace but carry no institutional credit applicable toward a degree, diploma, certificate, or other formal award. These courses may result in industry-recognized certificates, but do not include ABE, ESL, developmental education, or recreational courses.</span>",""
"Noncurrent assets","Assets that are not reasonably expected to be realized in cash or sold or consumed during the next normal operating cycle (normally one year) of the institution. Liquidity or nearness to cash is not the basis for determining classification as current or noncurrent. Thus cash investments intended for liquidation of liabilities due beyond the one-year period are noncurrent assets, as would assets segregated for the liquidation of long-term debts  (including amounts due within the next operating cycle). Assets designated to be used to acquire, construct, or improve capital assets would be noncurrent.",""
"Noncurrent liabilities","Liabilities whose liquidation is not reasonably expected to require the use of resources classified as current assets or the creation of other current liabilities within the next year. This includes the noncurrent portion of long-term debt and long-term accrued liabilities (such as for compensated absences, claims and judgments, and post-employment/post-retirement benefits); liability for refundable advances to the federal government for the Perkins Loan Program and similar loan programs; and debt due within the next operating cycle, if payment will be made from segregated assets classified as noncurrent assets.",""
"Nonmandatory transfers","Transfers from current funds to other fund groups made at the discretion of the governing board to serve a variety of objectives, such as additions to loan funds,  funds functioning as endowment (quasi-endowment), general or specific plant additions, voluntary renewals and replacement of plant, and prepayments on debt principal.",""
"Nonoperating","GASB requires that revenues and expenses be separated between operating and nonoperating. Operating revenues and expenses result from providing goods and services. Nonoperating activities are those outside the activities that are part of the operating activities of the institution. Most government appropriations are nonoperating because they are not generated by the operations of the institution. Investment income is nonoperating in most instances because institutions are not engaged in investing as an operating activity. Gifts are defined as nonoperating. Nonexchange transactions generate nonoperating revenues.",""
"Nonstandard term","A program term that is less than 9 weeks or greater than 21 weeks. Some institutions call these semesters, quarters, and trimesters too even though they are nonstandard terms.",""
"Nonterm program","For Title IV purposes, a nonterm program is a clock-hour program, <strong>or</strong> a credit hour program that enrolls student continuously, and has:<ul><li>Courses that do not begin and end within a set period such as a term;</li><li>Courses that overlap terms;</li><li>Self-paced and independent study courses that overlap terms; or</li><li>Sequential courses that do not begin and end within a term.</li></ul>",""
"Normal time to completion","The amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer sessions) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer sessions) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs.",""
"Not on tenure track","Personnel positions that are considered non-tenure earning positions.","Tenure track"
"Occupational program","A program of study consisting of one or more courses, designed to provide the student with sufficient knowledge and skills to perform in a specific occupation.",""
"Occupationally specific program","An instructional program,  below the bachelor's level, designed to prepare individuals with entry-level skills and training required for employment in a specific trade, occupation, or profession related to the field of study.",""
"Off-campus (not with family)","A living arrangement in which a student does not live with the student's parents or legal guardians in any housing facility that is not owned or controlled by the educational institution.",""
"Off-campus (with family)","A living arrangement in which a student lives with the student's parents or legal guardians in any housing facility that is not owned or controlled by the educational institution.",""
"Off-campus centers (extension centers)","Sites outside the confines of the parent institution where courses are offered that are part of an organized program at the parent institution. The sites are not considered to be temporary but may be rented or made available to the institution at no cost by another institution or an organization, agency, or firm.",""
"Off-campus facility","A teaching facility located some distance away from the educational institution which operates it.",""
"Off-campus housing","Any housing facility that is occupied by students but is not owned or controlled by the educational institution.",""
"Office and Administrative Support Occupations","An occupational category based on the major group in the 2018 Standard Occupational Classification (SOC) Manual called 'Office and Administrative Support Occupations.' For detailed information refer to the following website: https://www.bls.gov/soc/2018/major_groups.htm#43-0000.",""
"Official Church Mission","An official church mission is one that is established by the church of which the individual is a member and that results in the individual being unable to attend a postsecondary institution during the period of the mission.",""
"Official fall reporting date","The date (in the fall) on which an institution must report fall enrollment data to either the state, its board of trustees or governing board, or some other external governing body.",""
"On-campus housing","Any residence hall or housing facility owned or controlled by an institution within the same reasonably contiguous geographic area and used by the institution in direct support of or in a manner related to, the institution's educational purposes.",""
"Ongoing commitments to subscriptions","Ongoing commitments in all formats, including duplicates, for all outlets. This includes serials and any other items committed to annually, as well as annual e-platform or access fees. Serials are publications issued in successive parts, usually at regular intervals, and, as a rule, intended to be continued indefinitely. Print-based serial subscriptions include periodicals, newspapers, annuals (reports, yearbooks, etc.), memoirs, proceedings, and transactions of societies. Include the costs of electronic serials bought in aggregations and serial packages. Include abstracting and indexing services and any database that requires an annual subscription fee. Do not include subscription fees if they are part of an annual consortium fee. Government documents received serially are included if they are accessible through the library's catalog.",""
"OPE ID","Identification number used by the U.S. Department of Education's Office of Postsecondary Education (OPE) to identify schools that have Program Participation Agreements (PPA) so that its students are eligible to participate in Federal Student Financial Assistance programs under Title IV regulations. This is a 6-digit number followed by a 2-digit suffix used to identify branches, additional locations, and other entities that are part of the eligible institution.",""
"Open admission","Admission policy whereby the school will accept any student who applies.",""
"Operating","GASB requires that revenues and expenses be separated between operating and nonoperating. Operating revenues and expenses result from providing goods and services. Operating transactions are incurred in the course of the operating activities of the institution.",""
"Operation and maintenance of plant (GASB form prior to FY2010)","<P>A functional expense category that includes expenses for operations established to provide service and maintenance related to campus grounds and facilities used for educational and general purposes. Specific expenses include utilities, fire protection, property insurance, and similar items. This function <B>does not</B> include amounts charged to auxiliary enterprises, hospitals, and independent operations. Also includes information technology expenses related to operation and maintenance of plant activities if the institution separately budgets and expenses information technology resources (otherwise these expenses are included in institutional support). GASB institutions have these expenses charged to or allocated to other functions.</P><P>Term used for GASB institutions in the Finance component prior to Fiscal Year 2010 (expenses - GASB unaligned form)</P><P>&nbsp;</P>",""
"Operation and maintenance of plant (O&M)","An expense category that includes expenses for operations established to provide service and maintenance related to campus grounds and facilities used for educational and general purposes. Specific expenses include: janitorial and utility services; repairs and ordinary or normal alterations of buildings, furniture, and equipment; care of grounds; maintenance and operation of buildings and other plant facilities; security; earthquake and disaster preparedness; safety; hazardous waste disposal; property, liability, and all other insurance relating to property; space and capital leasing; facility planning and management; and central receiving.<div>This expense&nbsp;<b>does</b> include amounts charged to auxiliary enterprises, hospitals, and independent operations. Also includes information technology expenses related to operation and maintenance of plant activities if the institution separately budgets and expenses information technology resources (otherwise these expenses are included in institutional support).&nbsp;</div>",""
"Other academic calendar system","Category used to describe 'non-traditional' calendar systems at 4-year and 2-year degree-granting institutions. These can include schools that offer primarily on-line courses or 'one course at a time.'",""
"Other administrative","Persons whose assignments require management of the institution, or a customarily recognized department or subdivision thereof, but who are subordinate to employees classified as executive and managerial. Assignments require the performance of work directly related to management policies or general business operations of the institution, department or subdivision. Assignments in this category customarily and regularly require the incumbent to exercise discretion and independent judgment. Included in this category are all employees holding titles such as assistant, associate vice presidents (if no direction of others is required); assistant, associate deans (if no direction of others is required); assistant or associate directors; assistant or associate department head, if their principal activity is administrative; assistant or associate managers (including first-line managers of service, production and sales workers who spend more than 80% of their time performing supervisory activities). Term used in the 2001-02 Employees by Assigned Position (EAP) component only.",""
"Other areas","Includes American Samoa, the Federated States of Micronesia, Guam, the Marshall Islands, the Northern Mariana Islands, Palau, Puerto Rico, and the Virgin Islands.",""
"Other degree/certificate-seeking subcohort","A subset of students belonging to a GR cohort who were seeking a degree or certificate other than bachelor's degree upon entry.",""
"Other expenses","The amount of money (estimated by the financial aid office) needed by a student to cover expenses such as laundry, transportation, and entertainment.",""
"Other federal grants","Federal monies awarded to the institution under federal government student aid programs, such as the Federal Supplemental Educational Opportunity Grants (FSEOG), DHHS training grants (aid portion only), the Leveraging Education Assistance Partnership (LEAP) program, and other federal student aid programs. Pell Grants are not included in this classification. Note: if the federal government selects the student recipients and simply transmits the funds to the institution for disbursement to the student, the amounts are not considered as revenues and subsequently there are no discounts and allowances or scholarships and fellowships expenses. If the funds are made available to the institution for selection of student recipients, then the amounts received are considered as nonoperating revenues and subsequently as discounts and allowances or scholarships and fellowships expenses.",""
"Other insurance plan (cafeteria plan)","<P>A benefit plan that allows an employee the option of selecting a combination of health care and insurance benefits (e.g. hospital, medical, surgical, dental care, and group life insurance).</P><P>Term used prior to 2011-12 in the Human Resources component.</P>",""
"Other Natural Expenses and Deductions","The sum of operating and nonoperating expenses not classified as salaries and wages, benefits, operation and maintenance of plant, interest, or depreciation. Prior to fiscal year 2016, this value included operation and maintenance of plant expenses. This category can include bad debts, income taxes, changes in value in split interest agreements, or changes in environmental liability obligations.&nbsp;",""
"Other professional (support/service)","<P>A primary function or occupational activity category used to classify persons employed for the primary purpose of performing academic support, student service, and institutional support, whose assignments would require either a baccalaureate degree or higher or experience of such kind and amount as to provide a comparable background. Included in this category are all employees holding titles such as business operations specialists; buyers and purchasing agents; human resources, training, and labor relations specialists; management analysts; meeting and convention planners; miscellaneous business operations specialists; financial specialists; accountants and auditors; budget analysts; financial analysts and advisors; financial examiners; loan counselors and officers; computer specialists; computer and information scientists, research; computer programmers; computer software engineers; computer support specialists; computer systems analysts; database administrators; network and computer systems administrators; network systems and data communication analysts; counselors, social workers, and other community and social service specialists; counselors; social workers; health educators; clergy; directors, religious activities and education; lawyers; librarians, curators, and archivists; museum technicians and conservators; librarians; artists and related workers; designers; athletes, coaches, umpires; dancers and choreographers; music directors and composers; chiropractors; dentists; dietitians and nutritionists; optometrists; pharmacists; physicians and surgeons; podiatrists; registered nurses; therapists; and veterinarians.</P><P>(Term used in the IPEDS HR survey component prior to 2012-13)</P>",""
"Other separate health profession schools (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Other Separate Health Professional Schools award most of their degrees  in such fields as chiropractic, nursing, pharmacy, or podiatry.","Carnegie Classification,Specialized institutions (Carnegie)"
"Other sources (revenues)","Other sources of revenues not covered elsewhere in the collection of IPEDS Finance data from schools reporting under the pre GASB 34/35 Standards. Examples are interest income and gains (net of losses) from investments of unrestricted current funds,  miscellaneous rentals and sales, expired term endowments, and terminated annuity or life income agreements, if not material. Also includes revenues resulting from the sales and services of internal service departments to persons or agencies external to the institution (e.g., the sale of computer time).",""
